การใช้สิทธิเลือกตั้งสมาชิกวุฒิสภา นอกเขตจังหวัด,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
วันที่ 23-24 กุมภาพันธ์ 2551,,,,
,,,,
จังหวัด,จำนวนผู้ลงทะเบียนขอเลือกตั้งนอกเขต,จำนวนผู้มาใช้สิทธิเลือกตั้งนอกเขต,,
กรุงเทพมหานคร,"906,211","258,481",,
กระบี่,"6,593","1,408",,
กาญจนบุรี,"6,325","1,463",,
กาฬสินธุ์,"1,459",484,,
กำแพงเพชร,"2,643","1,136",,
ขอนแก่น,"13,983","5,571",,
จันทบุรี,"9,564","2,956",,
ฉะเชิงเทรา,"24,828","4,974",,
ชลบุรี,"155,903","27,522",,
ชัยนาท,"2,325",753,,
ชัยภูมิ,"2,199",682,,
ชุมพร,"5,738","1,148",,
เชียงราย,"7,599","3,710",,
เชียงใหม่,"33,483","13,958",,
ตรัง,"3,318","1,073",,
ตราด,"3,871","1,049",,
ตาก,"4,665","2,512",,
นครนายก,"3,575","1,187",,
นครปฐม,"33,754","6,488",,
นครพนม,"1,671",626,,
นครราชสีมา,"19,204","5,920",,
นครศรีธรรมราช,"5,881","1,578",,
นครสวรรค์,"6,711","2,528",,
นนทบุรี,"69,510","16,019",,
นราธิวาส,"8,641","4,319",,
น่าน,"1,438",645,,
บุรีรัมย์,"3,077","1,134",,
ปทุมธานี,"114,518","24,288",,
ประจวบคีรีขันธ์,"12,933","4,560",,
ปราจีนบุรี,"16,621","5,036",,
ปัตตานี,"9,904","5,337",,
พระนครศรีอยุธยา,"60,935","15,495",,
พะเยา,"2,466","1,222",,
พังงา,"3,665","1,000",,
พัทลุง,"1,693",596,,
พิจิตร,"1,541",604,,
พิษณุโลก,"10,679","4,891",,
เพชรบุรี,"7,271","2,187",,
เพชรบูรณ์,"3,181","1,103",,
แพร่,"1,676",677,,
ภูเก็ต,"30,291","7,301",,
มหาสารคาม,"6,966","3,824",,
มุกดาหาร,"1,154",507,,
แม่ฮ่องสอน,"2,156","1,186",,
ยโสธร,"1,052",424,,
ยะลา,"7,811","3,521",,
ร้อยเอ็ด,"2,357",905,,
ระนอง,"2,057",978,,
ระยอง,"60,036","8,581",,
ราชบุรี,"9,728","2,792",,
ลพบุรี,"9,369","2,676",,
ลำปาง,"4,628","2,120",,
ลำพูน,"18,197","7,777",,
เลย,"2,614","1,212",,
ศรีสะเกษ,"2,962",980,,
สกลนคร,"2,067",776,,
สงขลา,"16,525","4,533",,
สตูล,"1,647",485,,
สมุทรปราการ,"163,273","22,900",,
สมุทรสงคราม,"2,753","1,098",,
สมุทรสาคร,"79,709","14,507",,
สระแก้ว,"4,225","1,827",,
สระบุรี,"21,918","6,451",,
สิงห์บุรี,"2,011",683,,
สุโขทัย,"1,892",777,,
สุพรรณบุรี,"4,873","1,439",,
สุราษฎร์ธานี,"11,122","2,856",,
สุรินทร์,"2,976","1,146",,
หนองคาย,"2,878","1,247",,
หนองบัวลำภู,"1,021",449,,
อ่างทอง,"2,456",750,,
อำนาจเจริญ,804,372,,
อุดรธานี,"5,360","2,046",,
อุตรดิตถ์,"2,599","1,529",,
อุทัยธานี,"1,340",505,,
อุบลราชธานี,"6,240","2,251",,
